symbol,type,low,high
ADANIPORTS,OB,1480.0,1513.55
ADANIPORTS,OB,1536.0,1556.9
ADANIPORTS,OB,1488.1,1539.75
ADANIPORTS,OB,1519.0,1543.5
ADANIPORTS,OB,1452.0,1488.0
ADANIPORTS,OB,1486.3,1510.0
ADANIPORTS,OB,1467.0,1486.4
ADANIPORTS,OB,1476.6,1498.1
ADANIPORTS,OB,1427.55,1468.75
ADANIPORTS,OB,1425.1,1457.85
ADANIPORTS,OB,1394.45,1438.0
ADANIPORTS,OB,1438.2,1464.0
ADANIPORTS,OB,1444.0,1468.75
ADANIPORTS,OB,1337.0,1423.9
ADANIPORTS,OB,1404.35,1432.95
ADANIPORTS,OB,1407.15,1426.0
ADANIPORTS,OB,1387.55,1408.0
ADANIPORTS,OB,1335.2,1370.8
ADANIPORTS,OB,1304.15,1368.0
ADANIPORTS,OB,1372.1,1408.0
ADANIPORTS,OB,1295.9,1353.05
ADANIPORTS,OB,1350.0,1372.95
ADANIPORTS,OB,1260.65,1296.65
ADANIPORTS,OB,995.65,1160.7
ADANIPORTS,OB,1119.35,1174.45
ADANIPORTS,OB,1163.15,1226.9
ADANIPORTS,OB,1262.0,1301.0
ADANIPORTS,OB,1256.1,1282.5
ADANIPORTS,OB,1230.75,1258.35
ADANIPORTS,OB,1207.25,1238.9
ADANIPORTS,OB,1176.2,1215.9
ADANIPORTS,OB,1180.0,1203.1
ADANIPORTS,OB,1212.0,1258.8
ADANIPORTS,OB,1206.35,1231.8
ADANIPORTS,OB,1158.05,1200.9
ADANIPORTS,OB,1058.95,1106.45
ADANIPORTS,OB,1145.4,1190.0
ADANIPORTS,OB,1080.45,1118.05
ADANIPORTS,OB,1061.25,1096.65
ADANIPORTS,OB,1010.75,1118.5
ADANIPORTS,OB,1063.0,1117.5
ADANIPORTS,OB,1042.15,1120.0
ADANIPORTS,OB,1065.7,1083.25
ADANIPORTS,OB,1040.6,1081.0
ADANIPORTS,OB,1115.05,1139.45
ADANIPORTS,OB,1161.2,1186.95
ADANIPORTS,OB,1173.05,1202.2
ADANIPORTS,OB,1168.05,1202.0
ADANIPORTS,OB,1143.0,1200.1
ADANIPORTS,OB,1112.0,1135.6
ADANIPORTS,OB,1181.2,1243.4
ADANIPORTS,OB,1315.0,1356.3
ADANIPORTS,OB,1316.4,1366.9
ADANIPORTS,OB,1362.0,1381.9
ADANIPORTS,OB,1381.4,1407.3
ADANIPORTS,OB,1358.6,1408.0
ADANIPORTS,OB,1428.8,1457.5
ADANIPORTS,OB,1426.7,1472.0
ADANIPORTS,OB,1463.1,1484.0
ADANIPORTS,OB,1331.6,1372.6
ADANIPORTS,OB,1385.5,1404.0
ADANIPORTS,OB,1416.6,1439.9
ADANIPORTS,OB,1428.3,1453.9
ADANIPORTS,OB,1429.1,1456.5
ADANIPORTS,FVG,1499.45,1540.0
ADANIPORTS,FVG,1556.9,1568.5
ADANIPORTS,FVG,1488.0,1490.0
ADANIPORTS,FVG,1438.0,1443.85
ADANIPORTS,FVG,1215.6,1220.0
